,Name,City,Price,Year,Mileage,Fuel Type,Engine Capacity,Transmission,Last Updated
0,Toyota Vitz  2012 F 1.0 for Sale,Hyderabad,PKR 20.75lacs,2012,"119,230 km",Petrol,1000 cc,Automatic,Updated 1 minute ago
1,Toyota Prius  2010 S 1.5 for Sale,Islamabad,PKR 28.75lacs,2010,"250,000 km",Hybrid,1497 cc,Automatic,Updated 1 minute ago
2,Suzuki Alto  2023 VXL AGS for Sale,Islamabad,PKR 29.6lacs,2023,"37,000 km",Petrol,660 cc,Automatic,Updated 1 minute ago
3,Honda Civic  2015 VTi Prosmatec 1.8 i-VTEC for Sale,Multan,PKR 32.5lacs,2015,"102,000 km",Petrol,1800 cc,Automatic,Updated 1 minute ago
4,Toyota Vitz  2012 F Smile Edition 1.0 for Sale,Islamabad,PKR 26.45lacs,2012,"110,000 km",Petrol,1000 cc,Automatic,Updated 1 minute ago
5,Toyota Corolla  2017 GLi Automatic 1.3 VVTi for Sale,Lahore,PKR 41lacs,2017,"66,000 km",Petrol,1300 cc,Automatic,Updated 2 minutes ago
6,Honda City 5th (GM2) Generation 2015 1.3 i-VTEC for Sale,Lahore,PKR 31.5lacs,2015,"150,000 km",Petrol,1300 cc,Manual,Updated 3 minutes ago
7,Suzuki Alto  2022 L Upgrade for Sale9.5/10,Islamabad,PKR 34.9lacs,2022,"31,824 km",Petrol,660 cc,Automatic,Updated 3 minutes ago
8,Proton X70  2021 Premium FWD for Sale,Islamabad,PKR 68.5lacs,2021,"32,000 km",Petrol,1500 cc,Automatic,Updated 3 minutes ago
9,Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Black Interior for Sale9.9/10,Faisalabad,PKR 69.5lacs,2021,"9,333 km",Petrol,1800 cc,Automatic,Updated 4 minutes ago
10,FAW V2  2016 VCT-i for Sale,Karachi,PKR 11.95lacs,2016,"70,000 km",Petrol,1300 cc,Manual,Updated 4 minutes ago
11,Daihatsu Mira  2018 X SA lll for Sale,Khanewal,PKR 24.3lacs,2018,"79,000 km",Petrol,660 cc,Automatic,Updated 5 minutes ago
12,Honda City 5th (GM2) Generation 2012 Aspire Prosmatec 1.3 i-VTEC for Sale,Karachi,PKR 25.8lacs,2012,"110,000 km",Petrol,1300 cc,Automatic,Updated 1 minute ago
13,Honda City 5th (GM2) Generation 2017 Aspire Prosmatec 1.5 i-VTEC for Sale,Faisalabad,PKR 36.9lacs,2017,"88,000 km",Petrol,1500 cc,Automatic,Updated 1 minute ago
14,Toyota Corolla  2014 Altis CVT-i 1.8 for Sale,Sargodha,PKR 36.95lacs,2014,"126,000 km",Petrol,1800 cc,Automatic,Updated 1 minute ago
15,Toyota Passo  2015 Plus Hana C for Sale,Karachi,PKR 28.8lacs,2015,"79,000 km",Petrol,1000 cc,Automatic,Updated 1 minute ago
16,Suzuki Cultus  2017 VXR for Sale,Karachi,PKR 22lacs,2017,"72,000 km",Petrol,1000 cc,Manual,Updated 1 minute ago
17,Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,Kohat,PKR 45lacs,2015,"118,000 km",Petrol,1800 cc,Automatic,Updated 1 minute ago
18,Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,Lahore,PKR 51.5lacs,2017,"74,600 km",Petrol,1800 cc,Automatic,Updated 1 minute ago
19,Hyundai Santro  2004 Exec for Sale,Lahore,PKR 9.9lacs,2004,"123,456 km",Petrol,1000 cc,Manual,Updated 2 minutes ago
20,Suzuki Wagon R  2015 FA for Sale,Sialkot,PKR 23.25lacs,2015,"78,640 km",Petrol,660 cc,Automatic,Updated 2 minutes ago
21,Nissan Serena  2019 HIGHWAY STAR for Sale,Lahore,PKR 68.5lacs,2019,"64,000 km",Hybrid,2000 cc,Automatic,Updated 2 minutes ago
22,Audi A3  2018 2.0 TFSI quattro for Sale9.3/10,Karachi,PKR 99lacs,2018,"34,396 km",Petrol,2000 cc,Automatic,Updated 2 minutes ago
23,Honda Vezel  2015 Hybrid Z for Sale,Islamabad,PKR 47lacs,2015,"162,000 km",Hybrid,1500 cc,Automatic,Updated 2 minutes ago
24,Hyundai Santro  2003 Club for Sale,Faisalabad,PKR 7.25lacs,2003,"12,345 km",Petrol,1000 cc,Manual,Updated 2 minutes ago
25,Suzuki Swift  2017 DLX 1.3 Navigation  for Sale,Karachi,PKR 21lacs,2017,"103,000 km",Petrol,1300 cc,Manual,Updated 2 minutes ago
26,Honda City 6th Generation 2023 1.5L ASPIRE CVT for Sale,Karachi,PKR 56lacs,2023,"6,000 km",Petrol,1500 cc,Automatic,Updated 3 minutes ago
27,Honda City  1998 EXi for Sale,Karachi,PKR 7.25lacs,1998,"194,000 km",Petrol,1300 cc,Manual,Updated 3 minutes ago
28,Haval H6  2024 HEV for Sale,Multan,PKR 1.21crore,2024,1 km,Hybrid,1500 cc,Automatic,Updated 3 minutes ago
29,Honda Civic  2018 1.8 i-VTEC CVT for Sale,Sialkot,PKR 53lacs,2018,"84,303 km",Petrol,1800 cc,Automatic,
30,Honda Civic Rebirth 2015 VTi Prosmatec 1.8 i-VTEC for Sale,Islamabad,PKR 39.95lacs,2015,"98,870 km",Petrol,1800 cc,Automatic,
31,Honda Civic  2022 1.5 RS Turbo for Sale,Karachi,PKR 88lacs,2022,"23,000 km",Petrol,1500 cc,Automatic,
32,Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,Islamabad,PKR 49.5lacs,2017,"87,000 km",Petrol,1800 cc,Automatic,
33,Daihatsu Copen  2021  for Sale,Karachi,PKR 65.75lacs,2021,150 km,Petrol,660 cc,Automatic,
34,Toyota Passo  2013 Plus Hana C for Sale6.2/10,Karachi,PKR 25lacs,2013,"187,258 km",Petrol,1000 cc,Automatic,
35,Toyota Fortuner  2024 GR-S for Sale,Peshawar,PKR 2.19crore,2024,500 km,Diesel,2800 cc,Automatic,
36,Daihatsu Mira  2021 X for Sale,Karachi,PKR 39.95lacs,2021,"14,000 km",Petrol,660 cc,Automatic,
37,Daihatsu Mira  2021 L for Sale,Karachi,PKR 37.5lacs,2021,7 km,Petrol,660 cc,Automatic,
38,Suzuki Alto  2021 L for Sale,Karachi,PKR 35.15lacs,2021,"13,900 km",Petrol,660 cc,Automatic,
39,Suzuki Swift  2012 DLX 1.3 for Sale,Multan,PKR 18.25lacs,2012,"150,000 km",Petrol,1300 cc,Manual,
40,Toyota Prado  1997 TZ 3.4 for Sale,Bahawalpur,PKR 39.5lacs,1997,"200,000 km",Petrol,3400 cc,Automatic,
41,Toyota Passo  2022 X L Package for Sale,Islamabad,PKR 37lacs,2022,"5,000 km",Petrol,1000 cc,Automatic,
42,Suzuki Mehran  2003 VX for Sale,Wah cantt,PKR 7.35lacs,2003,"15,000 km",Petrol,800 cc,Manual,
43,Suzuki Wagon R  2013 Stingray J Style for Sale,Islamabad,PKR 21.85lacs,2013,"115,236 km",Petrol,660 cc,Automatic,
44,Toyota Vitz  2014 F Smile Edition 1.0 for Sale,Karachi,PKR 31.95lacs,2014,"107,000 km",Petrol,1000 cc,Automatic,
45,Toyota Vitz  2018 1.0F Safety Edition III for Sale,Hyderabad,PKR 38.8lacs,2018,"94,000 km",Petrol,1000 cc,Automatic,
46,KIA Picanto  2021 1.0 AT for Sale,Islamabad,PKR 27.5lacs,2021,"50,000 km",Petrol,1000 cc,Automatic,
47,KIA Sportage  2023 AWD for Sale,Gujranwala,PKR 80lacs,2023,"56,000 km",Petrol,2000 cc,Automatic,
48,Suzuki Mehran  2004 VXR for Sale,Lahore,PKR 5.8lacs,2004,"80,000 km",Petrol,800 cc,Manual,
49,Toyota Corolla  2020 Altis Automatic 1.6 for Sale,Sargodha,PKR 41.5lacs,2020,"25,000 km",Petrol,1600 cc,Automatic,
50,Toyota Prado  2010 TX Limited 2.7 for Sale,Lahore,PKR 1.6crore,2010,"110,000 km",Petrol,2700 cc,Automatic,
51,Suzuki Cultus  2020 VXL for Sale,Khanpur,PKR 29.9lacs,2020,"48,000 km",Petrol,1000 cc,Manual,
52,Daihatsu Mira  2021 X SA lll for Sale,Karachi,PKR 41lacs,2021,4 km,Petrol,660 cc,Automatic,
53,Toyota Yaris  2021 ATIV CVT 1.3 for Sale,Lahore,PKR 41.75lacs,2021,"22,000 km",Petrol,1300 cc,Automatic,
54,Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Black Interior for Sale,Lahore,PKR 63.5lacs,2021,"55,000 km",Petrol,1800 cc,Automatic,
55,Honda City 6th Generation 2022 1.2L CVT for Sale,Karachi,PKR 42.25lacs,2022,"47,000 km",Petrol,1200 cc,Automatic,
56,Suzuki Cultus  2007 VXR for Sale,Islamabad,PKR 7.2lacs,2007,180 km,Petrol,1000 cc,Manual,
57,Suzuki Bolan  2021 Cargo Van Euro ll for Sale,Karachi,PKR 16.75lacs,2021,"10,676 km",Petrol,800 cc,Manual,
58,Toyota Vitz  2012 F Limited 1.0 for Sale,Islamabad,PKR 22.5lacs,2012,"94,000 km",Petrol,1000 cc,Automatic,
59,Toyota Corolla  2012 GLi 1.3 VVTi for Sale,Lahore,PKR 28.9lacs,2012,"126,400 km",Petrol,1300 cc,Manual,
60,Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,Okara,PKR 39.95lacs,2015,"141,000 km",Petrol,1800 cc,Automatic,
61,Honda Civic  2020 1.5 RS Turbo for Sale,Gojra,PKR 68.5lacs,2020,"65,000 km",Petrol,1500 cc,Automatic,
62,Honda Civic  2018 1.8 i-VTEC CVT for Sale,Sialkot,PKR 53lacs,2018,"84,303 km",Petrol,1800 cc,Automatic,
63,Honda Civic Rebirth 2015 VTi Prosmatec 1.8 i-VTEC for Sale,Islamabad,PKR 39.95lacs,2015,"98,870 km",Petrol,1800 cc,Automatic,
64,Honda Civic  2022 1.5 RS Turbo for Sale,Karachi,PKR 88lacs,2022,"23,000 km",Petrol,1500 cc,Automatic,
65,Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,Islamabad,PKR 49.5lacs,2017,"87,000 km",Petrol,1800 cc,Automatic,
66,Daihatsu Copen  2021  for Sale,Karachi,PKR 65.75lacs,2021,150 km,Petrol,660 cc,Automatic,
67,Toyota Passo  2013 Plus Hana C for Sale6.2/10,Karachi,PKR 25lacs,2013,"187,258 km",Petrol,1000 cc,Automatic,
68,Toyota Fortuner  2024 GR-S for Sale,Peshawar,PKR 2.19crore,2024,500 km,Diesel,2800 cc,Automatic,
69,Daihatsu Mira  2021 X for Sale,Karachi,PKR 39.95lacs,2021,"14,000 km",Petrol,660 cc,Automatic,
70,Daihatsu Mira  2021 L for Sale,Karachi,PKR 37.5lacs,2021,7 km,Petrol,660 cc,Automatic,
71,Suzuki Alto  2021 L for Sale,Karachi,PKR 35.15lacs,2021,"13,900 km",Petrol,660 cc,Automatic,
72,Suzuki Swift  2012 DLX 1.3 for Sale,Multan,PKR 18.25lacs,2012,"150,000 km",Petrol,1300 cc,Manual,
73,Toyota Prado  1997 TZ 3.4 for Sale,Bahawalpur,PKR 39.5lacs,1997,"200,000 km",Petrol,3400 cc,Automatic,
74,Toyota Passo  2022 X L Package for Sale,Islamabad,PKR 37lacs,2022,"5,000 km",Petrol,1000 cc,Automatic,
75,Suzuki Mehran  2003 VX for Sale,Wah cantt,PKR 7.35lacs,2003,"15,000 km",Petrol,800 cc,Manual,
76,Suzuki Wagon R  2013 Stingray J Style for Sale,Islamabad,PKR 21.85lacs,2013,"115,236 km",Petrol,660 cc,Automatic,
77,Toyota Vitz  2014 F Smile Edition 1.0 for Sale,Karachi,PKR 31.95lacs,2014,"107,000 km",Petrol,1000 cc,Automatic,
78,Toyota Vitz  2018 1.0F Safety Edition III for Sale,Hyderabad,PKR 38.8lacs,2018,"94,000 km",Petrol,1000 cc,Automatic,
79,KIA Picanto  2021 1.0 AT for Sale,Islamabad,PKR 27.5lacs,2021,"50,000 km",Petrol,1000 cc,Automatic,
80,KIA Sportage  2023 AWD for Sale,Gujranwala,PKR 80lacs,2023,"56,000 km",Petrol,2000 cc,Automatic,
81,Suzuki Mehran  2004 VXR for Sale,Lahore,PKR 5.8lacs,2004,"80,000 km",Petrol,800 cc,Manual,
82,Toyota Corolla  2020 Altis Automatic 1.6 for Sale,Sargodha,PKR 41.5lacs,2020,"25,000 km",Petrol,1600 cc,Automatic,
83,Toyota Prado  2010 TX Limited 2.7 for Sale,Lahore,PKR 1.6crore,2010,"110,000 km",Petrol,2700 cc,Automatic,
84,Suzuki Cultus  2020 VXL for Sale,Khanpur,PKR 29.9lacs,2020,"48,000 km",Petrol,1000 cc,Manual,
85,Daihatsu Mira  2021 X SA lll for Sale,Karachi,PKR 41lacs,2021,4 km,Petrol,660 cc,Automatic,
86,Toyota Yaris  2021 ATIV CVT 1.3 for Sale,Lahore,PKR 41.75lacs,2021,"22,000 km",Petrol,1300 cc,Automatic,
87,Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Black Interior for Sale,Lahore,PKR 63.5lacs,2021,"55,000 km",Petrol,1800 cc,Automatic,
88,Honda City 6th Generation 2022 1.2L CVT for Sale,Karachi,PKR 42.25lacs,2022,"47,000 km",Petrol,1200 cc,Automatic,
89,Suzuki Cultus  2007 VXR for Sale,Islamabad,PKR 7.2lacs,2007,180 km,Petrol,1000 cc,Manual,
90,Suzuki Bolan  2021 Cargo Van Euro ll for Sale,Karachi,PKR 16.75lacs,2021,"10,676 km",Petrol,800 cc,Manual,
91,Toyota Vitz  2012 F Limited 1.0 for Sale,Islamabad,PKR 22.5lacs,2012,"94,000 km",Petrol,1000 cc,Automatic,
92,Toyota Corolla  2012 GLi 1.3 VVTi for Sale,Lahore,PKR 28.9lacs,2012,"126,400 km",Petrol,1300 cc,Manual,
93,Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,Okara,PKR 39.95lacs,2015,"141,000 km",Petrol,1800 cc,Automatic,
94,Honda Civic  2020 1.5 RS Turbo for Sale,Gojra,PKR 68.5lacs,2020,"65,000 km",Petrol,1500 cc,Automatic,
95,Honda Civic  2018 1.8 i-VTEC CVT for Sale,Sialkot,PKR 53lacs,2018,"84,303 km",Petrol,1800 cc,Automatic,Updated 1 minute ago
96,Honda Civic Rebirth 2015 VTi Prosmatec 1.8 i-VTEC for Sale,Islamabad,PKR 39.95lacs,2015,"98,870 km",Petrol,1800 cc,Automatic,Updated 2 minutes ago
97,Honda Civic  2022 1.5 RS Turbo for Sale,Karachi,PKR 88lacs,2022,"23,000 km",Petrol,1500 cc,Automatic,Updated 3 minutes ago
98,Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,Islamabad,PKR 49.5lacs,2017,"87,000 km",Petrol,1800 cc,Automatic,Updated 3 minutes ago
99,Daihatsu Copen  2021  for Sale,Karachi,PKR 65.75lacs,2021,150 km,Petrol,660 cc,Automatic,Updated 7 minutes ago
100,Toyota Passo  2013 Plus Hana C for Sale6.2/10,Karachi,PKR 25lacs,2013,"187,258 km",Petrol,1000 cc,Automatic,Updated 8 minutes ago
101,Toyota Fortuner  2024 GR-S for Sale,Peshawar,PKR 2.19crore,2024,500 km,Diesel,2800 cc,Automatic,Updated 8 minutes ago
102,Daihatsu Mira  2021 X for Sale,Karachi,PKR 39.95lacs,2021,"14,000 km",Petrol,660 cc,Automatic,Updated 9 minutes ago
103,Daihatsu Mira  2021 L for Sale,Karachi,PKR 37.5lacs,2021,7 km,Petrol,660 cc,Automatic,Updated 9 minutes ago
104,Suzuki Alto  2021 L for Sale,Karachi,PKR 35.15lacs,2021,"13,900 km",Petrol,660 cc,Automatic,Updated 9 minutes ago
105,Suzuki Swift  2012 DLX 1.3 for Sale,Multan,PKR 18.25lacs,2012,"150,000 km",Petrol,1300 cc,Manual,Updated 10 minutes ago
106,Toyota Prado  1997 TZ 3.4 for Sale,Bahawalpur,PKR 39.5lacs,1997,"200,000 km",Petrol,3400 cc,Automatic,Updated 11 minutes ago
107,Toyota Passo  2022 X L Package for Sale,Islamabad,PKR 37lacs,2022,"5,000 km",Petrol,1000 cc,Automatic,Updated less than a minute ago
108,Suzuki Mehran  2003 VX for Sale,Wah cantt,PKR 7.35lacs,2003,"15,000 km",Petrol,800 cc,Manual,Updated less than a minute ago
109,Suzuki Wagon R  2013 Stingray J Style for Sale,Islamabad,PKR 21.85lacs,2013,"115,236 km",Petrol,660 cc,Automatic,Updated 1 minute ago
110,Toyota Vitz  2014 F Smile Edition 1.0 for Sale,Karachi,PKR 31.95lacs,2014,"107,000 km",Petrol,1000 cc,Automatic,Updated 1 minute ago
111,Toyota Vitz  2018 1.0F Safety Edition III for Sale,Hyderabad,PKR 38.8lacs,2018,"94,000 km",Petrol,1000 cc,Automatic,Updated 1 minute ago
112,KIA Picanto  2021 1.0 AT for Sale,Islamabad,PKR 27.5lacs,2021,"50,000 km",Petrol,1000 cc,Automatic,Updated 2 minutes ago
113,KIA Sportage  2023 AWD for Sale,Gujranwala,PKR 80lacs,2023,"56,000 km",Petrol,2000 cc,Automatic,Updated 2 minutes ago
114,Suzuki Mehran  2004 VXR for Sale,Lahore,PKR 5.8lacs,2004,"80,000 km",Petrol,800 cc,Manual,Updated 2 minutes ago
115,Toyota Corolla  2020 Altis Automatic 1.6 for Sale,Sargodha,PKR 41.5lacs,2020,"25,000 km",Petrol,1600 cc,Automatic,Updated 2 minutes ago
116,Toyota Prado  2010 TX Limited 2.7 for Sale,Lahore,PKR 1.6crore,2010,"110,000 km",Petrol,2700 cc,Automatic,Updated 2 minutes ago
117,Suzuki Cultus  2020 VXL for Sale,Khanpur,PKR 29.9lacs,2020,"48,000 km",Petrol,1000 cc,Manual,Updated 2 minutes ago
118,Daihatsu Mira  2021 X SA lll for Sale,Karachi,PKR 41lacs,2021,4 km,Petrol,660 cc,Automatic,Updated 3 minutes ago
119,Toyota Yaris  2021 ATIV CVT 1.3 for Sale,Lahore,PKR 41.75lacs,2021,"22,000 km",Petrol,1300 cc,Automatic,Updated 3 minutes ago
120,Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Black Interior for Sale,Lahore,PKR 63.5lacs,2021,"55,000 km",Petrol,1800 cc,Automatic,Updated 3 minutes ago
121,Honda City 6th Generation 2022 1.2L CVT for Sale,Karachi,PKR 42.25lacs,2022,"47,000 km",Petrol,1200 cc,Automatic,Updated 3 minutes ago
122,Suzuki Cultus  2007 VXR for Sale,Islamabad,PKR 7.2lacs,2007,180 km,Petrol,1000 cc,Manual,Updated 3 minutes ago
123,Suzuki Bolan  2021 Cargo Van Euro ll for Sale,Karachi,PKR 16.75lacs,2021,"10,676 km",Petrol,800 cc,Manual,Updated 3 minutes ago
124,Toyota Vitz  2012 F Limited 1.0 for Sale,Islamabad,PKR 22.5lacs,2012,"94,000 km",Petrol,1000 cc,Automatic,Updated 4 minutes ago
125,Toyota Corolla  2012 GLi 1.3 VVTi for Sale,Lahore,PKR 28.9lacs,2012,"126,400 km",Petrol,1300 cc,Manual,Updated 4 minutes ago
126,Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,Okara,PKR 39.95lacs,2015,"141,000 km",Petrol,1800 cc,Automatic,Updated 4 minutes ago
127,Honda Civic  2020 1.5 RS Turbo for Sale,Gojra,PKR 68.5lacs,2020,"65,000 km",Petrol,1500 cc,Automatic,Updated 4 minutes ago
